City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,novyy urengoy,66.0833,76.6333,-26.7,99,25,3.57,RU,1738278553
299,waddan,29.1614,16.139,12.09,33,0,4.15,LY,1738278554
300,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,46,40,8.0,RU,1738278555
301,opuwo,-18.0607,13.84,21.27,53,90,4.43,NA,1738278556
302,saynshand,44.8824,110.1163,-19.92,85,14,0.58,MN,1738278558
303,talnakh,69.4865,88.3972,-21.36,99,100,3.82,RU,1738278559
304,mountain home,43.133,-115.6912,5.71,31,0,3.09,US,1738278560
305,vilyuysk,63.7553,121.6247,-40.95,100,88,1.49,RU,1738278561
306,mahikeng,-25.8652,25.6442,23.72,39,53,2.68,ZA,1738278562
307,shache,38.4167,77.2406,-5.46,29,5,1.36,CN,1738278563
308,faya-largeau,17.9257,19.1043,18.72,24,2,7.8,TD,1738278565
309,stettler,52.3168,-112.7186,-8.0,95,100,4.32,CA,1738278566
310,petawawa,45.9001,-77.3328,-11.23,85,100,4.12,CA,1738278568
311,sao joao da barra,-21.6403,-41.0511,25.17,83,87,9.99,BR,1738278569
312,taulaga,-11.0553,-171.0883,28.62,74,40,7.29,AS,1738278570
313,mahina,-17.5065,-149.489,30.87,62,40,3.09,PF,1738278571
314,nemuro,43.3236,145.575,-0.91,75,100,9.83,JP,1738278573
315,nyurba,63.2842,118.3319,-40.08,100,92,1.39,RU,1738278574
316,wabag,-5.4781,143.7021,17.99,81,100,0.67,PG,1738278575
317,sarangani,5.4033,125.4636,27.96,77,80,11.75,PH,1738278576
318,sandnessjoen,66.0217,12.6316,1.81,97,100,11.25,NO,1738278577
319,ghiror,27.1833,78.8,12.9,50,3,0.57,IN,1738278578
320,sant lluis,39.8526,4.2594,8.22,81,0,2.57,ES,1738278580
321,ambon,-3.6954,128.1814,30.13,100,100,2.12,ID,1738278581
322,pecos,31.4229,-103.4932,14.05,23,0,12.35,US,1738278582
323,labrador city,52.9463,-66.9114,-26.82,88,100,7.96,CA,1738278554
324,dompu,-8.5356,118.4622,23.57,98,100,0.85,ID,1738278585
325,tidjikja,18.5564,-11.4271,19.38,15,0,5.84,MR,1738278586
326,amble,55.3333,-1.5833,3.08,87,100,3.6,GB,1738278587
327,takoradi,4.8845,-1.7554,26.45,85,16,2.33,GH,1738278588
328,sovetskiy,61.3614,63.5842,-23.57,100,98,2.27,RU,1738278589
329,la passe,45.5549,-0.8967,6.41,84,100,4.96,FR,1738278591
330,jiagedaqi,50.4167,124.1167,-19.35,99,100,1.19,CN,1738278592
331,cartagena del chaira,1.3349,-74.8429,24.69,90,95,1.11,CO,1738278593
332,nadym,65.5333,72.5167,-23.64,99,77,3.94,RU,1738278594
333,sur,22.5667,59.5289,20.66,56,1,5.37,OM,1738278595
334,praya,14.9215,-23.5087,21.67,77,1,9.08,CV,1738278597
335,fort bragg,35.139,-79.006,13.91,39,100,0.0,US,1738278598
336,okahao,-17.885,15.0667,25.53,44,69,4.69,NA,1738278599
337,alaghsas,17.0187,8.0168,18.39,19,83,6.21,NE,1738278601
338,porbandar,21.6422,69.6093,19.61,80,6,4.09,IN,1738278602
339,ain sefra,32.75,-0.5833,3.88,86,6,2.76,DZ,1738278603
